Date,Session,SpotPrice,FuturePrice
9,8,2305,2204
10,1,2280,2205
10,2,2276,2198
10,3,2274,2205
10,4,2298,2215
10,5,2306,
10,6,2316,2213
10,7,2352,2213
10,8,2338,
11,1,2326,2240
11,2,2299,2263
11,3,2303,2276
11,4,2289,2287
11,5,2268,2300
11,6,2263,2277
11,7,2264,2276
11,8,2300,2276
12,1,2294,2276
12,2,2296,2276
12,3,2295,2284
12,4,2299,2288
12,5,2297,
12,6,2270,2288
12,7,2248,2279
12,8,2234,2279
13,1,2211,2255
13,2,2207,2240
13,3,2186,2240
13,4,2190,2230
13,5,2185,2229
13,6,2210,2226
13,7,2222,2230
13,8,2219,2226
14,1,2213,2238
14,2,2225,2225
14,3,2244,2237
14,4,2274,2240
14,5,2286,2239
14,6,2279,2247
14,7,2256,2249
14,8,2248,2254
15,1,2251,2255
15,2,2222,2255
15,3,2233,2254
15,4,2243,2241
15,5,2281,2258
15,6,2293,2258
15,7,2279,2263
15,8,2262,2261
16,1,2224,2269
16,2,2222,2259
16,3,2236,2244
16,4,2216,2238
16,5,2235,2238
16,6,2233,2235
16,7,2221,2233
16,8,2207,2236
17,1,2263,2220
17,2,2272,2232
17,3,2232,2233
17,4,2226,2235
17,5,2218,2234
17,6,2160,2233
17,7,2225,2229
17,8,2280,2236
18,1,2270,2258
18,2,2259,2268
18,3,2281,2278
18,4,2259,2278
18,5,2227,2271
18,6,2226,2260
18,7,2217,2255
18,8,2210,2255
19,1,2216,2225
19,2,2231,2233
19,3,2228,2230
19,4,2236,2237
19,5,2236,2232
19,6,2251,2236
19,7,2280,2234
19,8,2272,2235
20,1,2266,2257
20,2,2250,2263
20,3,2221,2262
20,4,2199,2260
20,5,2192,2256
20,6,2185,2250
20,7,2147,2249
20,8,2146,2245
21,1,2170,2222
21,2,2139,2222
21,3,2112,2213
21,4,1981,2209
21,5,2041,2200
21,6,2093,2199
21,7,2131,2194
21,8,2097,2191
22,1,2074,2198
22,2,2070,2177
22,3,2065,2179
22,4,2092,2171
22,5,2115,2169
22,6,2132,2156
22,7,2123,2154
22,8,2115,2158
23,1,2112,2136
23,2,2117,2144
23,3,2114,2125
23,4,2103,2122
23,5,2105,2120
23,6,2105,2117
23,7,2142,
23,8,2172,2135
24,1,2178,2156
24,2,2181,2156
24,3,2181,2159
24,4,2184,2172
24,5,2202,2155
24,6,2216,2168
24,7,2214,2168
24,8,2209,2160
25,1,2232,2185
25,2,2250,2200
25,3,2253,2210
25,4,2217,2218
25,5,2189,2221
25,6,2176,2204
25,7,2194,2198
25,8,2189,2195
26,1,2180,2187
26,2,2177,2184
26,3,2181,2193
26,4,2178,2181
26,5,2197,2180
26,6,2180,2191
26,7,2176,2193
26,8,2178,2179
27,1,2187,2170
27,2,2175,2175
27,3,2183,2170
27,4,2199,2173
27,5,2182,2179
27,6,2200,2185
27,7,2195,2183
27,8,2194,2185
28,1,2184,2195
28,2,2157,2188
28,3,2153,2187
28,4,2141,2168
28,5,2152,2165
28,6,2139,2165
28,7,2110,2165
28,8,2087,2161
29,1,2055,2135
29,2,2069,2111
29,3,2049,2112
29,4,2040,2096
29,5,2039,2090
29,6,2018,2089
29,7,2024,2088
29,8,2016,2082
30,1,2003,2102
30,2,2008,2075
30,3,1972,2086
30,4,1990,2078
30,5,2016,2077
30,6,1993,2065
30,7,1985,2088
30,8,1977,2077
31,1,1977,1977
